x	y
365	482
-37	-14
303	236
-29	229
483	130
321	216
229	261
138	95
495	-47
196	210
245	366
462	393
-14	401
97	-1
89	-78
426	302
-48	268
-70	431
380	69
287	66
188	181
421	71
151	271
-64	-9
32	418
57	32
100	28
35	75
303	378
127	178
43	-61
-34	469
33	370
69	336
34	283
116	475
288	-86
275	367
375	91
288	255
-10	306
449	404
424	160
-76	165
71	195
386	91
77	354
311	308
22	357
151	388
110	85
482	53
489	419
50	17
321	-11
167	382
138	394
490	-7
217	164
225	214
59	422
244	-56
479	476
367	-8
-46	300
226	383
438	135
74	465
493	332
-85	-82
65	112
-74	1
430	474
109	238
330	96
82	428
16	-3
227	-62
161	305
20	411
-17	276
228	182
229	255
417	-60
273	49
-1	137
313	217
241	85
-33	61
368	488
285	70
223	487
352	272
93	448
220	457
412	177
222	302
-64	60
86	496
370	220
